"id","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","property_type","room_type","accommodates","bathrooms_text","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","instant_bookable","a_balcony","a_garden","a_fireplace","a_outdoors","a_pool","a_breakfast","a_air_conditioning","a_parking","a_working_space","a_child_friendly","a_gym","a_gaming","a_kitchen","a_pets","bathroom_digits","bathroom_chars","bathrooms_type","bathrooms_count","flag_review_scores_rating"
26674097,"86","100",0,1,1,1,1,"la Barceloneta","Ciutat Vella","Apartment","Entire home/apt",4,"1 bath",2,2,45,31,1125,31,31,1125,1125,31,1125,1,0,14,44,319,2020-12-17,6,3,0,97,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0," bath","1 ","Private",1,0
26697015,"100","83",1,2,2,1,1,"el Raval","Ciutat Vella","Apartment","Entire home/apt",4,"1 bath",1,4,49,32,1125,7,32,1125,1125,31.3,1125,1,11,11,11,228,2020-12-17,0,0,0,94,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0," bath","1 ","Private",1,1
26700966,"100","94",0,4,4,1,1,"Sant Martí de Provençals","Sant Martí","Apartment","Entire home/apt",4,"1 bath",2,4,39,31,330,31,31,330,330,31,330,1,0,0,0,181,2020-12-18,4,1,0,100,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0," bath","1 ","Private",1,0
26712885,"N/A","N/A",0,4,4,1,1,"la Nova Esquerra de l'Eixample","Eixample","Apartment","Private room",2,"1 shared bath",1,1,45,1,20,1,1,20,20,1,20,1,0,0,0,0,2020-12-18,22,0,0,94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0," shared bath","1  ","Shared",1,0
26723428,"100","90",0,1,1,1,1,"la Sagrada Família","Eixample","Apartment","Entire home/apt",6,"2 baths",3,3,55,33,1125,33,33,1125,1125,33,1125,1,30,60,90,365,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0," baths","2 ","Private",2,1
26726767,"100","71",0,1,1,1,1,"la Dreta de l'Eixample","Eixample","Apartment","Entire home/apt",2,"1 bath",1,1,40,31,100,31,31,100,100,31,100,1,0,14,44,319,2020-12-17,6,2,0,90,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0," bath","1 ","Private",1,0
26727454,"0","100",0,3,3,1,1,"el Congrés i els Indians","Sant Andreu","Apartment","Private room",2,"1 shared bath",1,1,70,2,5,2,2,5,5,2,5,1,0,16,46,321,2020-12-19,7,2,0,91,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0," shared bath","1  ","Shared",1,0
26732545,"N/A","N/A",0,0,0,1,1,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella","Apartment","Private room",2,"1 shared bath",1,1,45,1,1125,1,1,1125,1125,1,1125,1,30,60,90,365,2020-12-18,9,0,0,96,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0," shared bath","1  ","Shared",1,0
26732649,"89","90",1,17,17,1,1,"el Barri Gòtic","Ciutat Vella","Apartment","Entire home/apt",2,"1 bath",1,1,49,60,300,60,60,300,300,60,300,1,30,60,90,365,2020-12-17,0,0,0,94,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0," bath","1 ","Private",1,1
26738653,"80","98",0,28,28,1,1,"la Dreta de l'Eixample","Eixample","Apartment","Entire home/apt",4,"1 bath",2,3,200,60,365,60,60,365,365,60,365,1,0,0,0,0,2020-12-16,3,1,0,93,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0," bath","1 ","Private",1,0
26742570,"93","99",0,16,16,1,1,"Provençals del Poblenou","Sant Martí","Apartment","Entire home/apt",6,"1 bath",3,3,66,1,1125,1,29,365,1125,12.5,776,1,1,1,1,1,2020-12-17,28,2,0,88,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0," bath","1 ","Private",1,0
26756528,"100","100",1,2,2,1,1,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella","Apartment","Private room",2,"1.5 shared baths",1,1,41,2,290,2,2,1125,1125,2,1125,1,29,59,89,179,2020-12-17,59,5,0,95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,". shared baths","1.5  ","Shared",1,0
26763608,"N/A","100",1,1,1,1,1,"la Barceloneta","Ciutat Vella","Apartment","Private room",3,"1 private bath",1,2,41,3,27,3,3,1125,1125,3,1125,1,0,0,0,0,2020-12-16,77,2,0,98,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0," private bath","1  ","Private",1,0
26763615,"N/A","N/A",0,1,1,1,1,"les Corts","Les Corts","Apartment","Private room",2,"1 private bath",1,1,45,3,5,3,3,5,5,3,5,1,1,1,1,1,2020-12-18,3,0,0,93,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0," private bath","1  ","Private",1,0
26764384,"100","80",1,20,20,1,1,"Sant Antoni","Eixample","Apartment","Entire home/apt",6,"2 baths",3,4,60,3,90,3,3,90,90,3,90,1,0,0,2,2,2020-12-16,0,0,0,94,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0," baths","2 ","Private",2,1
26764798,"0","97",1,1,1,1,1,"la Vila de Gràcia","Gràcia","Apartment","Private room",2,"1 shared bath",1,2,47,2,15,2,2,1125,1125,2,1125,1,0,0,0,231,2020-12-18,68,7,0,96,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0," shared bath","1  ","Shared",1,0
26766150,"100","95",1,3,3,1,1,"el Poble Sec","Sants-Montjuïc","Apartment","Entire home/apt",4,"1 bath",3,3,400,3,10,2,4,1125,1125,3,1125,1,0,0,0,183,2020-12-17,6,6,0,100,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0," bath","1 ","Private",1,0
26770664,"0","100",0,3,3,1,1,"la Sagrera","Sant Andreu","Apartment","Private room",2,"1 private bath",1,1,70,1,1125,1,1,1125,1125,1,1125,1,16,46,76,166,2020-12-18,68,0,0,94,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0," private bath","1  ","Private",1,0
26772799,"N/A","4",0,6,6,1,0,"el Barri Gòtic","Ciutat Vella","Apartment","Private room",6,"1.5 baths",2,4,39,31,1125,31,31,1125,1125,31,1125,1,30,60,90,365,2020-12-17,0,0,0,94,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,". baths","1.5 ","Private",1,1
26773201,"89","100",0,24,24,1,1,"el Raval","Ciutat Vella","Apartment","Entire home/apt",5,"1 bath",2,3,90,32,1125,32,32,1125,1125,32,1125,1,30,60,90,365,2020-12-18,5,0,0,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0," bath","1 ","Private",1,0
26773433,"N/A","4",0,6,6,1,0,"el Raval","Ciutat Vella","Apartment","Private room",3,"2 baths",2,2,89,3,1125,3,3,1125,1125,3,1125,1,30,60,90,365,2020-12-17,0,0,0,94,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0," baths","2 ","Private",2,1
26776271,"62","93",0,196,196,1,0,"la Barceloneta","Ciutat Vella","Apartment","Entire home/apt",2,"1 bath",1,1,51,32,275,32,180,275,275,112,275,1,0,0,0,181,2020-12-17,0,0,0,94,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0," bath","1 ","Private",1,1
26778469,"100","100",1,1,1,1,0,"la Sagrada Família","Eixample","Apartment","Private room",2,"1 shared bath",1,1,61,1,1125,1,1,1125,1125,1,1125,1,29,59,89,269,2020-12-18,31,0,0,100,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0," shared bath","1  ","Shared",1,0
26778986,"N/A","0",0,1,1,1,1,"el Poble Sec","Sants-Montjuïc","Apartment","Private room",2,"1 private bath",1,1,69,2,15,2,2,15,15,2,15,1,30,60,90,365,2020-12-17,0,0,0,94,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0," private bath","1  ","Private",1,1
26779830,"100","100",0,2,2,1,1,"la Vila Olímpica del Poblenou","Sant Martí","Apartment","Private room",2,"1 shared bath",1,1,65,3,30,3,3,30,30,3,30,1,29,59,89,179,2020-12-17,18,1,0,93,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0," shared bath","1  ","Shared",1,0
26781346,"100","0",0,7,7,1,1,"el Camp d'en Grassot i Gràcia Nova","Gràcia","Apartment","Private room",2,"1 private bath",1,1,100,2,15,2,3,15,15,2.3,15,1,0,0,0,0,2020-12-16,0,0,0,94,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0," private bath","1  ","Private",1,1
26792025,"100","98",0,10,10,1,1,"la Sagrada Família","Eixample","Apartment","Entire home/apt",6,"2 baths",3,6,158,3,365,3,3,365,365,3,365,1,0,0,0,0,2020-12-16,1,1,0,100,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0," baths","2 ","Private",2,0
26792965,"62","93",0,196,196,1,0,"les Corts","Les Corts","Apartment","Entire home/apt",3,"1 bath",2,2,65,32,330,32,180,330,330,112.7,330,1,24,54,84,359,2020-12-18,0,0,0,94,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0," bath","1 ","Private",1,1
26793949,"100","98",0,10,10,1,1,"la Dreta de l'Eixample","Eixample","Apartment","Entire home/apt",5,"2 baths",3,5,158,3,365,3,3,365,365,3,365,1,29,59,89,133,2020-12-18,8,1,1,95,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0," baths","2 ","Private",2,0
